2023-03-12T10:12:26.685+01:00 r=d5ecf9741e89 ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-2] a.a.t.s.a.individual.config.LogFilter    : >>> GET /h2-console/icon_help.gif UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
2023-03-12T10:12:26.688+01:00 r=d5ecf9741e89 ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-2] a.a.t.s.a.individual.config.LogFilter    : <<< GET /h2-console/icon_help.gif status=200 time=2ms
2023-03-12T10:12:26.694+01:00 r=717592a2d11f ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-6] a.a.t.s.a.individual.config.LogFilter    : >>> GET /h2-console/icon_history.gif UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
2023-03-12T10:12:26.696+01:00 r=717592a2d11f ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-6] a.a.t.s.a.individual.config.LogFilter    : <<< GET /h2-console/icon_history.gif status=200 time=1ms
2023-03-12T10:12:26.731+01:00 r=9cf54d709097 ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-7] a.a.t.s.a.individual.config.LogFilter    : >>> GET /h2-console/icon_run.gif UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
2023-03-12T10:12:26.732+01:00 r=5293fa0800e8 ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-4] a.a.t.s.a.individual.config.LogFilter    : >>> GET /h2-console/icon_disconnect.gif UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
2023-03-12T10:12:26.732+01:00 r=ca398227bb0b ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-3] a.a.t.s.a.individual.config.LogFilter    : >>> GET /h2-console/icon_run_selected.gif UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
2023-03-12T10:12:26.734+01:00 r=e912b9ee505e ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-5] a.a.t.s.a.individual.config.LogFilter    : >>> GET /h2-console/icon_line.gif UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
2023-03-12T10:12:26.735+01:00 r=ca398227bb0b ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-3] a.a.t.s.a.individual.config.LogFilter    : <<< GET /h2-console/icon_run_selected.gif status=200 time=2ms
2023-03-12T10:12:26.736+01:00 r=5293fa0800e8 ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-4] a.a.t.s.a.individual.config.LogFilter    : <<< GET /h2-console/icon_disconnect.gif status=200 time=3ms
2023-03-12T10:12:26.736+01:00 r=e912b9ee505e ip=0:0:0:0:0:0:0:1  INFO 11376 --- [http-nio-8080-exec-5] a.a.t.s.a.individual.config.LogFilter    : <<< GET /h2-console/icon_line.gif status=200 time=1ms
